id_pozo,campo,zona_operativa,metodo_extraccion,estado_operativo,fecha_inicio_operacion,fecha_ultimo_reporte,profundidad_m,produccion_bpd,produccion_acumulada_mbbl,corte_agua_pct,api_gravedad,presion_cabeza_psi,temperatura_fondo_c,activo,requiere_mantenimiento
RUB-105,Campo Rubiales,Sur,BES,Activo,2022-03-03,2026-07-07,2325.0,331.0,1.5,18.8,14.9,259.2,79.8,True,False
RUB-106,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2020-09-26,2026-06-22,2110.0,139.7,0.7,21.9,10.2,255.9,66.8,True,False
RUB-107,Campo Rubiales,Oriente,Flujo Natural,Cerrado,2009-05-05,2026-07-20,2298.2,0.0,0.86,62.4,14.6,5.8,95.8,False,False
RUB-108,Campo Rubiales,Sur,Flujo Natural,Activo,2016-09-18,2026-07-20,2699.9,48.9,0.7,47.6,15.0,264.5,88.0,True,True
RUB-109,Campo Rubiales,Oriente,Gas Lift,Activo,2014-02-23,2026-07-15,2296.1,58.2,1.87,46.2,14.6,241.6,70.1,True,True
RUB-110,Campo Rubiales,Centro,BES,Activo,2020-03-01,2026-06-25,2488.5,462.2,1.75,29.8,7.9,237.0,84.3,True,True
RUB-111,Campo Rubiales,Centro,Flujo Natural,Cerrado,2011-10-15,2026-06-27,2543.8,0.0,0.69,67.9,9.4,8.2,87.7,False,False
RUB-112,Campo Rubiales,Norte,Bombeo Mecanico,Cerrado,2014-12-30,2026-06-29,2399.6,0.0,0.95,53.1,11.4,2.6,79.2,False,False
RUB-113,Campo Rubiales,Oriente,Gas Lift,Activo,2017-10-30,2026-07-07,2298.2,193.3,1.35,46.5,13.7,231.9,72.0,True,True
RUB-114,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2015-01-31,2026-07-08,2000.3,63.0,1.67,63.8,15.2,207.8,78.6,True,False
RUB-115,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2023-05-10,2026-07-21,2110.6,257.6,0.33,24.6,16.4,277.9,80.8,True,False
RUB-116,Campo Rubiales,Occidente,Bombeo Mecanico,Activo,2016-05-22,2026-07-15,2872.3,132.3,1.3,38.7,14.0,244.4,83.0,True,False
RUB-117,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2015-02-25,2026-06-27,2333.7,152.1,1.37,60.1,15.7,251.0,93.3,True,True
RUB-118,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2008-12-15,2026-06-28,2133.2,20.3,2.1,66.3,13.4,190.3,86.4,True,False
RUB-119,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2018-11-02,2026-07-03,1967.3,34.1,0.75,40.9,11.3,288.7,85.7,True,False
RUB-120,Campo Rubiales,Oriente,Bombeo Mecanico,En Mantenimiento,2018-02-24,2026-07-11,2647.6,2.3,0.9,38.3,18.1,263.3,74.5,False,True
RUB-121,Campo Rubiales,Occidente,Flujo Natural,Activo,2012-05-27,2026-07-11,2528.4,63.5,0.79,54.2,12.7,189.0,88.6,True,True
RUB-122,Campo Rubiales,Occidente,Gas Lift,En Mantenimiento,2022-10-20,2026-07-13,2521.5,32.4,0.73,19.7,12.4,285.8,76.2,False,True
RUB-123,Campo Rubiales,Oriente,Gas Lift,Activo,2017-12-23,2026-06-22,2202.3,159.2,1.71,36.0,12.9,252.7,86.2,True,False
RUB-124,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2013-11-05,2026-07-16,2777.0,122.2,1.24,46.2,13.1,227.8,95.2,True,False
RUB-125,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2018-05-11,2026-06-24,1618.0,158.9,0.84,58.3,12.3,250.5,75.1,True,False
RUB-126,Campo Rubiales,Occidente,BES,En Mantenimiento,2021-05-10,2026-07-17,3422.4,34.0,1.58,33.8,14.3,305.1,80.8,False,True
RUB-127,Campo Rubiales,Centro,Bombeo Mecanico,Cerrado,2009-06-24,2026-07-20,2025.6,0.0,2.01,65.7,9.7,6.6,75.7,False,False
RUB-128,Campo Rubiales,Occidente,BES,Activo,2019-12-26,2026-07-16,2725.9,289.1,2.28,39.6,12.4,298.1,92.2,True,False
RUB-129,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2014-11-05,2026-07-08,2570.0,80.5,1.4,67.2,16.7,241.5,68.8,True,False
RUB-130,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2022-08-16,2026-07-17,2233.6,88.9,0.5,19.5,9.2,270.8,87.6,True,False
RUB-131,Campo Rubiales,Centro,BES,Cerrado,2020-06-27,2026-06-26,2192.5,0.0,1.96,36.8,9.3,7.4,71.7,False,True
RUB-132,Campo Rubiales,Centro,Bombeo Mecanico,En Mantenimiento,2015-12-18,2026-07-16,2983.2,11.7,1.1,57.5,9.9,194.1,73.7,False,True
RUB-133,Campo Rubiales,Norte,Flujo Natural,En Mantenimiento,2014-09-28,2026-07-05,2117.5,5.1,0.79,67.4,9.4,256.4,74.2,False,True
RUB-134,Campo Rubiales,Norte,Flujo Natural,Activo,2020-06-23,2026-07-13,1870.2,59.7,0.42,28.0,11.8,246.1,75.5,True,False
RUB-135,Campo Rubiales,Occidente,Gas Lift,Activo,2018-02-18,2026-07-13,2985.4,133.5,1.53,37.8,14.2,222.6,76.1,True,False
RUB-136,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2016-09-04,2026-07-02,2562.2,174.6,0.93,41.0,15.8,255.7,87.7,True,False
RUB-137,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2009-04-16,2026-07-02,2908.8,110.3,1.85,79.1,12.6,198.2,67.4,True,False
RUB-138,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2011-05-24,2026-07-05,2133.0,164.0,2.13,62.7,12.0,192.3,93.3,True,True
RUB-139,Campo Rubiales,Occidente,Gas Lift,En Mantenimiento,2018-07-05,2026-06-22,3457.4,12.5,1.16,21.8,14.0,217.4,89.3,False,True
RUB-140,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2019-10-23,2026-06-27,2155.6,190.1,1.0,33.8,15.8,224.0,86.3,True,False
RUB-141,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2013-12-17,2026-07-09,1999.5,62.9,1.68,63.7,11.2,257.8,93.6,True,False
RUB-142,Campo Rubiales,Occidente,BES,En Mantenimiento,2009-01-19,2026-07-03,3012.9,14.7,3.78,66.3,14.8,186.4,66.0,False,True
RUB-143,Campo Rubiales,Oriente,BES,Activo,2014-07-02,2026-07-18,2219.0,99.6,3.28,43.9,15.7,209.3,80.9,True,False
RUB-144,Campo Rubiales,Sur,Flujo Natural,En Mantenimiento,2011-07-11,2026-06-30,3131.4,5.0,0.69,64.1,12.4,204.2,72.5,False,True
RUB-145,Campo Rubiales,Centro,Bombeo Mecanico,Activo,2009-12-03,2026-06-29,2300.9,83.7,2.11,50.0,8.3,208.2,70.4,True,True
RUB-146,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2016-10-19,2026-07-08,1984.5,105.1,1.27,51.1,12.4,180.0,88.2,True,False
RUB-147,Campo Rubiales,Centro,Gas Lift,Activo,2009-02-04,2026-07-02,2468.0,139.9,2.49,58.8,10.0,228.5,89.8,True,False
RUB-148,Campo Rubiales,Centro,BES,Cerrado,2017-03-14,2026-07-20,2193.7,0.0,2.23,43.2,9.5,5.4,65.8,False,False
RUB-149,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2022-12-20,2026-07-17,3128.8,132.9,0.49,19.8,14.4,281.4,71.6,True,False
RUB-150,Campo Rubiales,Centro,BES,Activo,2022-12-13,2026-06-30,2533.2,351.3,0.86,11.6,7.5,298.6,65.6,True,False
RUB-151,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2018-05-23,2026-07-02,1820.4,129.9,0.78,29.9,10.3,226.1,72.4,True,True
RUB-152,Campo Rubiales,Occidente,BES,Activo,2013-05-31,2026-07-04,2985.7,109.4,3.56,49.1,10.5,204.4,69.3,True,False
RUB-153,Campo Rubiales,Occidente,Bombeo Mecanico,Activo,2012-03-28,2026-07-20,2487.8,52.9,1.41,51.1,10.9,206.7,86.3,True,False
RUB-154,Campo Rubiales,Oriente,BES,Activo,2015-04-01,2026-06-26,2047.5,356.6,2.27,50.6,13.6,235.0,83.5,True,False
RUB-155,Campo Rubiales,Sur,BES,Activo,2022-12-28,2026-06-25,2923.9,371.6,1.2,22.2,12.3,269.6,91.3,True,False
RUB-156,Campo Rubiales,Centro,BES,Activo,2011-02-01,2026-07-21,2461.1,263.9,3.45,42.3,9.9,140.0,66.5,True,False
RUB-157,Campo Rubiales,Sur,BES,En Mantenimiento,2019-01-01,2026-07-12,2597.9,41.7,2.21,41.9,12.4,233.3,95.1,False,True
RUB-158,Campo Rubiales,Occidente,Bombeo Mecanico,Activo,2021-05-11,2026-07-11,3179.5,184.7,0.54,22.5,13.3,295.2,70.5,True,True
RUB-159,Campo Rubiales,Sur,Gas Lift,Activo,2013-06-24,2026-07-16,2502.2,111.1,2.65,70.8,15.8,227.2,91.5,True,True
RUB-160,Campo Rubiales,Sur,BES,Activo,2020-03-26,2026-07-04,2479.8,223.4,1.5,39.7,12.5,266.3,93.3,True,False
RUB-161,Campo Rubiales,Centro,BES,Activo,2019-02-03,2026-07-20,2597.3,254.1,2.59,38.8,11.0,224.9,67.8,True,False
RUB-162,Campo Rubiales,Sur,Gas Lift,Cerrado,2021-08-24,2026-06-27,2342.4,0.0,0.72,16.6,14.0,3.2,66.8,False,True
RUB-163,Campo Rubiales,Oriente,Flujo Natural,Activo,2019-07-07,2026-06-27,1912.0,70.0,0.51,48.6,16.4,242.9,79.3,True,False
RUB-164,Campo Rubiales,Norte,Gas Lift,En Mantenimiento,2019-07-27,2026-07-11,2020.3,11.0,1.36,48.8,10.7,310.7,81.5,False,True
RUB-165,Campo Rubiales,Norte,BES,Activo,2017-09-11,2026-06-26,2348.2,229.2,2.46,49.1,11.0,218.0,78.3,True,False
RUB-166,Campo Rubiales,Norte,BES,En Mantenimiento,2008-02-22,2026-06-27,2039.9,25.0,4.31,71.5,10.2,146.2,75.7,False,True
RUB-167,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2014-07-25,2026-07-07,2883.6,94.3,1.34,57.4,14.8,229.8,75.9,True,False
RUB-168,Campo Rubiales,Norte,BES,En Mantenimiento,2017-03-27,2026-07-07,2257.6,11.1,2.57,44.9,12.3,226.6,95.7,False,True
RUB-169,Campo Rubiales,Norte,Bombeo Mecanico,En Mantenimiento,2015-12-24,2026-07-11,2316.8,1.5,1.26,44.1,9.3,213.4,85.2,False,True
RUB-170,Campo Rubiales,Oriente,Bombeo Mecanico,En Mantenimiento,2011-07-18,2026-07-03,2455.6,11.4,2.01,50.5,13.7,217.5,89.4,False,True
RUB-171,Campo Rubiales,Sur,Flujo Natural,Activo,2015-06-02,2026-06-29,2138.4,46.6,0.65,51.3,15.4,234.3,91.2,True,True
RUB-172,Campo Rubiales,Sur,BES,Cerrado,2009-12-10,2026-07-12,2596.9,0.0,3.84,63.0,14.9,9.5,76.7,False,False
RUB-173,Campo Rubiales,Sur,BES,Activo,2022-05-12,2026-07-12,2638.5,296.5,1.2,20.5,15.2,284.0,88.9,True,False
